ID;Notional;Counterparty
1;1000;A
2;2000;B
3;3000;A
4;4000;B
5;5000;A
6;6000;B
7;7000;A
8;8000;B
9;9000;A
10;10000;B
11;11000;A
12;12000;B
13;13000;A
14;14000;B
15;15000;A
16;16000;B
17;17000;A
18;18000;B
19;19000;A
20;20000;B
21;21000;A
22;22000;B
23;23000;A
24;24000;B
25;25000;A
26;26000;B
27;27000;A
28;28000;B
29;29000;A
30;30000;B
31;31000;A
32;32000;B
33;33000;A
34;34000;B
35;35000;A
36;36000;B
37;37000;A
38;38000;B
39;39000;A
40;40000;B
41;41000;A
42;42000;B
43;43000;A
44;44000;B
45;45000;A
46;46000;B
47;47000;A
48;48000;B
49;49000;A
50;50000;B
51;51000;A
52;52000;B
53;53000;A
54;54000;B
55;55000;A
56;56000;B
57;57000;A
58;58000;B
59;59000;A
60;60000;B
61;61000;A
62;62000;B
63;63000;A
64;64000;B
65;65000;A
66;66000;B
67;67000;A
68;68000;B
69;69000;A
70;70000;B
71;71000;A
72;72000;B
73;73000;A
74;74000;B
75;75000;A
76;76000;B
77;77000;A
78;78000;B
79;79000;A
80;80000;B
81;81000;A
82;82000;B
83;83000;A
84;84000;B
85;85000;A
86;86000;B
87;87000;A
88;88000;B
89;89000;A
90;90000;B
91;91000;A
92;92000;B
93;93000;A
94;94000;B
95;95000;A
96;96000;B
97;97000;A
98;98000;B
99;99000;A
100;100000;B
101;101000;A
102;102000;B
103;103000;A
104;104000;B
105;105000;A
106;106000;B
107;107000;A
108;108000;B
109;109000;A
110;110000;B
111;111000;A
112;112000;B
113;113000;A
114;114000;B
115;115000;A
116;116000;B
117;117000;A
118;118000;B
119;119000;A
120;120000;B
121;121000;A
122;122000;B
123;123000;A
124;124000;B
125;125000;A
126;126000;B
127;127000;A
128;128000;B
129;129000;A
130;130000;B
131;131000;A
132;132000;B
133;133000;A
134;134000;B
135;135000;A
136;136000;B
137;137000;A
138;138000;B
139;139000;A
140;140000;B
141;141000;A
142;142000;B
143;143000;A
144;144000;B
145;145000;A
146;146000;B
147;147000;A
148;148000;B
149;149000;A
150;150000;B
151;151000;A
152;152000;B
153;153000;A
154;154000;B
155;155000;A
156;156000;B
157;157000;A
158;158000;B
159;159000;A
160;160000;B
161;161000;A
162;162000;B
163;163000;A
164;164000;B
165;165000;A
166;166000;B
167;167000;A
168;168000;B
169;169000;A
170;170000;B
171;171000;A
172;172000;B
173;173000;A
174;174000;B
175;175000;A
176;176000;B
177;177000;A
178;178000;B
179;179000;A
180;180000;B
181;181000;A
182;182000;B
183;183000;A
184;184000;B
185;185000;A
186;186000;B
187;187000;A
188;188000;B
189;189000;A
190;190000;B
191;191000;A
192;192000;B
193;193000;A
194;194000;B
195;195000;A
196;196000;B
197;197000;A
198;198000;B
199;199000;A
200;200000;B
201;201000;A
202;202000;B
203;203000;A
204;204000;B
205;205000;A
206;206000;B
207;207000;A
208;208000;B
209;209000;A
210;210000;B
211;211000;A
212;212000;B
213;213000;A
214;214000;B
215;215000;A
216;216000;B
217;217000;A
218;218000;B
219;219000;A
220;220000;B
221;221000;A
222;222000;B
223;223000;A
224;224000;B
225;225000;A
226;226000;B
227;227000;A
228;228000;B
229;229000;A
230;230000;B
231;231000;A
232;232000;B
233;233000;A
234;234000;B
235;235000;A
236;236000;B
237;237000;A
238;238000;B
239;239000;A
240;240000;B
241;241000;A
242;242000;B
243;243000;A
244;244000;B
245;245000;A
246;246000;B
247;247000;A
248;248000;B
249;249000;A
250;250000;B
251;251000;A
252;252000;B
253;253000;A
254;254000;B
255;255000;A
256;256000;B
257;257000;A
258;258000;B
259;259000;A
260;260000;B
261;261000;A
262;262000;B
263;263000;A
264;264000;B
265;265000;A
266;266000;B
267;267000;A
268;268000;B
269;269000;A
270;270000;B
271;271000;A
272;272000;B
273;273000;A
274;274000;B
275;275000;A
276;276000;B
277;277000;A
278;278000;B
279;279000;A
280;280000;B
281;281000;A
282;282000;B
283;283000;A
284;284000;B
285;285000;A
286;286000;B
287;287000;A
288;288000;B
289;289000;A
290;290000;B
291;291000;A
292;292000;B
293;293000;A
294;294000;B
295;295000;A
296;296000;B
297;297000;A
298;298000;B
299;299000;A
300;300000;B
301;301000;A
302;302000;B
303;303000;A
304;304000;B
305;305000;A
306;306000;B
307;307000;A
308;308000;B
309;309000;A
310;310000;B
311;311000;A
312;312000;B
313;313000;A
314;314000;B
315;315000;A
316;316000;B
317;317000;A
318;318000;B
319;319000;A
320;320000;B
321;321000;A
322;322000;B
323;323000;A
324;324000;B
325;325000;A
326;326000;B
327;327000;A
328;328000;B
329;329000;A
330;330000;B
331;331000;A
332;332000;B
333;333000;A
334;334000;B
335;335000;A
336;336000;B
337;337000;A
338;338000;B
339;339000;A
340;340000;B
341;341000;A
342;342000;B
343;343000;A
344;344000;B
345;345000;A
346;346000;B
347;347000;A
348;348000;B
349;349000;A
350;350000;B
351;351000;A
352;352000;B
353;353000;A
354;354000;B
355;355000;A
356;356000;B
357;357000;A
358;358000;B
359;359000;A
360;360000;B
361;361000;A
362;362000;B
363;363000;A
364;364000;B
365;365000;A
366;366000;B
367;367000;A
368;368000;B
369;369000;A
370;370000;B
